donor,recipient,commitment_amount_usd_constant,coalesced_purpose_name
Denmark,South Africa,195478,Small and medium-sized enterprises (SME) development
Denmark,South Africa,901153,Small and medium-sized enterprises (SME) development
Denmark,South Africa,68417,Sectors not specified
Denmark,South Africa,273669,Small and medium-sized enterprises (SME) development
Denmark,South Africa,195478,Small and medium-sized enterprises (SME) development
Denmark,South Africa,726396,Small and medium-sized enterprises (SME) development
Denmark,South Africa,67831,Sectors not specified
Denmark,South Africa,68417,Sectors not specified
Denmark,South Africa,42223,Sectors not specified
Denmark,South Africa,1438327,Strengthening civil society
Denmark,South Africa,141331,Sectors not specified
Italy,Brazil,30615,Education policy and administrative management
United States,Brazil,333259,Agricultural development
Denmark,Chile,87965,Sectors not specified
Denmark,India,154819,Sectors not specified
Denmark,India,201733,Promotion of development awareness
France,South Africa,4984,Secondary education
France,South Africa,73540,Multisector education/training
France,South Africa,136497,Multisector aid
France,South Africa,503485,Higher education
Canada,South Africa,468773,Higher education
France,South Africa,427216,Medical services
France,South Africa,24298431,Water transport
France,South Africa,42722,Education policy and administrative management
France,South Africa,280518,Environmental policy and administrative management
France,South Africa,280518,Infectious & Parasitic disease control
France,South Africa,550,Communications policy & admin. mgmt
France,South Africa,427,Reconstruction relief and rehabilitation
France,South Africa,1615021,Housing policy and administrative management
France,South Africa,594410,Agricultural water resources
France,South Africa,26909,Primary education
France,South Africa,142405486,Multisector aid for social services
France,South Africa,821029,Agricultural research
France,South Africa,298956,Public sector policy and adm. management
France,South Africa,317079,Multisector aid
France,South Africa,594410,Fishery research
France,South Africa,741,Energy policy and administrative management
France,South Africa,854433,Multisector aid
France,South Africa,80841,Administrative costs
France,South Africa,166045,Agricultural development
France,South Africa,142405,Water resources policy and administrative management
France,South Africa,768990,Infectious & Parasitic disease control
France,South Africa,54719,Public sector financial management
France,South Africa,507033,Secondary education
France,South Africa,11392,Technological research and development
France,South Africa,21361,Multisector aid
France,South Africa,3332669,Social/ welfare services
France,South Africa,406412,Higher education
France,South Africa,247968,Security system management and reform
France,South Africa,62812,Higher education
France,South Africa,62812,Environmental research
France,South Africa,62812,Promotion of development awareness
France,South Africa,17089,Tourism policy and admin. management
France,South Africa,35601,Tourism policy and admin. management
France,South Africa,1324,Economic and development policy/planning
France,South Africa,873589,Primary education
Canada,South Africa,7921,Promotion of development awareness
Canada,South Africa,3358,Strengthening civil society
Canada,South Africa,41949,Water resources policy and administrative management
Luxembourg,India,53611,Basic life skills for youth & adults
France,Chile,55757,Medical research
France,Brazil,1154739,Multisector aid
United Kingdom,South Africa,103855,Environmental research
France,Brazil,34266,Communications policy & admin. mgmt
United Kingdom,Thailand,14058,Strengthening civil society
France,Brazil,210145,Public sector policy and adm. management
France,Brazil,115479,Water resources policy/admin. mgmt
France,Brazil,5723926,Social/ welfare services
France,Brazil,222490,Multisector aid
France,Brazil,720694,Higher education
France,Brazil,11036,Agricultural development
France,Brazil,556622,Environmental policy and administrative management
France,Brazil,9968,Sectors not specified
France,Brazil,355111,Education policy and administrative management
France,Brazil,4623315,Agricultural research
France,Brazil,269910,Administrative costs
France,Brazil,73850,Medical research
France,Brazil,4793210,Multisector education/training
France,Brazil,556622,Education policy and administrative management
France,Brazil,556622,Population policy and administrative management
France,Brazil,24636,Higher education
France,Brazil,68370,Higher education
France,Brazil,33754,Agricultural policy and administrative management
France,Brazil,745188,Sectors not specified
France,Brazil,7654,Sectors not specified
France,Brazil,2583,Environmental policy and administrative management
France,Brazil,369326,Agricultural water resources
France,Brazil,369326,Promotion of development awareness
France,Brazil,4628,Secondary education
France,Brazil,32753,Technological research and development
France,Brazil,21518,Multisector aid
France,Brazil,10680,Multisector aid
France,Brazil,13529,Social/welfare services
France,Brazil,27769,Social/ welfare services
France,Brazil,64548,Public sector financial management
France,Brazil,28481,Water resources policy and administrative management
France,Brazil,569622,Infectious & Parasitic disease control
France,Chile,156746,Multisector aid
France,Brazil,27057,Environmental policy and administrative management
France,Brazil,926,Water resources policy/admin. mgmt
France,Brazil,1204425,Higher education
France,Brazil,1204425,Environmental research
France,Brazil,1204425,Promotion of development awareness
France,Brazil,18745894,Higher education
France,Brazil,14241,Construction policy and admin. mgmt
France,Brazil,309020,Construction policy and admin. mgmt
France,Chile,4598487,Higher education
France,Chile,13292,Security system management and reform
France,Chile,6113,Agricultural policy and administrative management
France,Chile,182562,Promotion of development awareness
France,Chile,17943,Education policy and administrative management
France,Chile,56962,Financial policy and administrative management
France,Chile,16313,Financial policy and administrative management
France,Chile,57062,Public sector financial management
France,Chile,1429319,Primary education
France,Chile,76671,Higher education
France,Chile,111076,Technological research and development
France,Chile,425012,Multisector education/training
France,Chile,4194,Secondary education
France,Chile,45862,Economic and development policy/planning
France,Chile,182562,Higher education
France,Colombia,99208,Multisector aid
France,Chile,182562,Environmental research
France,Chile,230003,Sectors not specified
France,Chile,1324,Economic and development policy/planning
France,Chile,213920,Agricultural research
France,Chile,20578,Agricultural development
France,Chile,886382,Higher education
France,Chile,1000352,Social/ welfare services
France,Chile,171119,Public sector policy and adm. management
France,Colombia,69904,Public sector policy and adm. management
France,Colombia,1453002,Social/ welfare services
France,Colombia,932756,Economic and development policy/planning
France,Colombia,6884,Administrative costs
France,Colombia,7120,Sectors not specified
Italy,Brazil,113073,Vocational training
France,Colombia,42722,Infectious & Parasitic disease control
France,Colombia,2563,Sectors not specified
France,Colombia,138529,Multisector aid
France,Colombia,6879,Agricultural water resources
France,Colombia,6879,Agricultural research
France,Colombia,675149,Multisector education/training
France,Colombia,27601,Higher education
France,Colombia,584085,Higher education
France,Colombia,528911,Agricultural research
France,Colombia,2986,Multisector aid
France,Colombia,2198464,Secondary education
France,Colombia,2935695,Primary education
France,Colombia,48172,Public sector financial management
France,Colombia,2991,Primary education
France,Colombia,353220,Security system management and reform
France,Colombia,35459,Education policy and administrative management
France,Colombia,1009655,Basic drinking water supply and basic sanitation
France,Colombia,13793101,Higher education
France,Colombia,4272,Construction policy and administrative management
France,Colombia,14241,Tourism policy and administrative management
France,India,1075161,Biosphere protection
France,India,173306,Multisector aid
France,India,80459,Technological research and development
France,India,296719,Higher education
France,India,296719,Environmental research
France,India,296719,Promotion of development awareness
France,India,6767729,Social/ welfare services
France,India,6408,Reconstruction relief and rehabilitation
France,India,12247,Sectors not specified
France,India,7120,Primary education
France,India,5696,Primary education
France,India,78326,Public sector policy and adm. management
France,India,210583,Water resources policy/admin. mgmt
France,India,44146,Sectors not specified
France,India,5841,Sectors not specified
France,India,6902,Food aid/Food security programmes
France,India,14383,Social/welfare services
France,India,405661,Secondary education
France,India,142405,Infectious & Parasitic disease control
France,India,34025,Administrative costs
France,India,112930,Medical research
France,India,6357,Education policy and administrative management
France,India,1453,Education policy and administrative management
